"id","section_id","sub_section","question_text"
1,1,"Kapasitas Founder dan Top Management","[Kapasitas Founder dan Top Management Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
2,1,"Kapasitas Founder dan Top Management","[Kapasitas Founder dan Top Management Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
3,1,"Kapasitas Founder dan Top Management","[Kapasitas Founder dan Top Management Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
4,1,"Kapasitas Founder dan Top Management","[Kapasitas Founder dan Top Management Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
5,1,"Kapasitas Founder dan Top Management","[Kapasitas Founder dan Top Management Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
6,1,"Kapasitas Founder dan Top Management","[Kapasitas Founder dan Top Management Bagaimana evaluasi indikator kinerja poin ke-6 pada aspek ini?]"
7,1,"Visi, Misi, dan Value Perusahaan","[Visi, Misi, dan Value Perusahaan Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
8,1,"Visi, Misi, dan Value Perusahaan","[Visi, Misi, dan Value Perusahaan Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
9,1,"Visi, Misi, dan Value Perusahaan","[Visi, Misi, dan Value Perusahaan Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
10,1,"Visi, Misi, dan Value Perusahaan","[Visi, Misi, dan Value Perusahaan Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
11,1,"Visi, Misi, dan Value Perusahaan","[Visi, Misi, dan Value Perusahaan Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
12,1,"Visi, Misi, dan Value Perusahaan","[Visi, Misi, dan Value Perusahaan Bagaimana evaluasi indikator kinerja poin ke-6 pada aspek ini?]"
13,1,"Kekuatan Ide dan Daya Saing Produk","[Kekuatan Ide dan Daya Saing Produk Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
14,1,"Kekuatan Ide dan Daya Saing Produk","[Kekuatan Ide dan Daya Saing Produk Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
15,1,"Kekuatan Ide dan Daya Saing Produk","[Kekuatan Ide dan Daya Saing Produk Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
16,1,"Kekuatan Ide dan Daya Saing Produk","[Kekuatan Ide dan Daya Saing Produk Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
17,1,"Kekuatan Ide dan Daya Saing Produk","[Kekuatan Ide dan Daya Saing Produk Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
18,1,"Kekuatan Ide dan Daya Saing Produk","[Kekuatan Ide dan Daya Saing Produk Bagaimana evaluasi indikator kinerja poin ke-6 pada aspek ini?]"
19,1,"Potensi Pasar","[Potensi Pasar Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
20,1,"Potensi Pasar","[Potensi Pasar Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
21,1,"Potensi Pasar","[Potensi Pasar Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
22,1,"Potensi Pasar","[Potensi Pasar Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
23,1,"Potensi Pasar","[Potensi Pasar Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
24,1,"Potensi Pasar","[Potensi Pasar Bagaimana evaluasi indikator kinerja poin ke-6 pada aspek ini?]"
25,1,"Implementasi Business Plan","[Implementasi Business Plan Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
26,1,"Implementasi Business Plan","[Implementasi Business Plan Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
27,1,"Implementasi Business Plan","[Implementasi Business Plan Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
28,1,"Implementasi Business Plan","[Implementasi Business Plan Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
29,1,"Implementasi Business Plan","[Implementasi Business Plan Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
30,1,"Implementasi Business Plan","[Implementasi Business Plan Bagaimana evaluasi indikator kinerja poin ke-6 pada aspek ini?]"
31,2,"Revenue Generation","[Revenue Generation Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
32,2,"Revenue Generation","[Revenue Generation Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
33,2,"Revenue Generation","[Revenue Generation Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
34,2,"Revenue Generation","[Revenue Generation Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
35,2,"Revenue Generation","[Revenue Generation Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
36,2,"Revenue Generation","[Revenue Generation Bagaimana evaluasi indikator kinerja poin ke-6 pada aspek ini?]"
37,2,"Profitabilitas","[Profitabilitas Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
38,2,"Profitabilitas","[Profitabilitas Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
